timestamp,io_errors,frames_tx,frames_rx,interface
288614329,7869,7693,0,1
288716201,7869,7693,0,1
288818217,7869,7693,0,1
288920219,7869,7695,0,1
289022206,7871,7695,0,1
289124507,7871,7695,0,1
289226204,7871,7695,0,1
289328218,7872,7709,0,1
289430217,7885,7709,0,1
289532203,7885,7709,0,1
289634504,7885,7709,0,1
289736208,7885,7709,0,1
289838218,7885,7711,0,1
289940220,7887,7711,0,1
290042204,7887,7711,0,1
290144506,7887,7711,0,1
290246216,7888,7711,0,1
290348217,7888,7723,0,1
290450217,7899,7725,0,1
290552203,7901,7725,0,1
290654323,7901,7725,0,1
290756202,7901,7725,0,1
290858224,7901,7725,0,1
290960217,7901,7727,0,1
291062202,7903,7727,0,1
291164536,7903,7727,0,1
291266201,7904,7727,0,1
291368220,7904,7739,0,1
291470217,7915,7741,0,1
291572205,7917,7741,0,1
291674517,7917,7741,0,1
291776201,7917,7741,0,1
291878218,7917,7743,0,1
291980224,7919,7743,0,1
292082210,7919,7743,0,1
292184319,7919,7743,0,1
292286202,7920,7755,0,1
292388218,7931,7757,0,1
292490217,7933,7757,0,1
292592202,7933,7757,0,1
292694511,7933,7757,0,1
292796203,7933,7757,0,1
292898218,7933,7759,0,1
293000217,7935,7759,0,1
293102208,7935,7759,0,1
293204498,7935,7759,0,1
293306201,7936,7771,0,1
293408217,7947,7773,0,1
293510220,7949,7773,0,1
293612203,7949,7773,0,1
293714513,7949,7773,0,1
293816202,7949,7773,0,1
293918219,7949,7775,0,1
294020217,7951,7775,0,1
294122222,7951,7775,0,1
294224518,7951,7775,0,1
294326202,7952,7787,0,1
294428222,7963,7789,0,1
294530217,7965,7789,0,1
294632205,7965,7789,0,1
294734511,7965,7789,0,1
294836201,7965,7789,0,1
294938221,7965,7791,0,1
295040218,7967,7791,0,1
295142202,7967,7791,0,1
295244504,7968,7791,0,1
295346207,7968,7803,0,1
295448218,7979,7805,0,1
295550220,7981,7805,0,1
295652205,7981,7805,0,1
295754550,7981,7805,0,1
295856206,7981,7805,0,1
295958217,7981,7807,0,1
296060217,7983,7807,0,1
296162202,7983,7807,0,1
296264477,7984,7807,0,1
296366203,7984,7819,0,1
296468223,7995,7821,0,1
296570219,7997,7821,0,1
296672212,7997,7821,0,1
296774312,7997,7821,0,1
296876200,7997,7821,0,1
296978218,7997,7823,0,1
297080226,7999,7823,0,1
297182203,7999,7823,0,1
297284309,8000,7835,0,1
297386201,8011,7835,0,1
297488218,8011,7837,0,1
297590238,8013,7837,0,1
297692202,8013,7837,0,1
297794508,8013,7837,0,1
297896202,8013,7837,0,1
297998218,8013,7839,0,1
298100218,8015,7839,0,1
298202203,8015,7839,0,1
298304503,8016,7851,0,1
298406202,8027,7851,0,1
298508221,8027,7853,0,1
298610217,8029,7853,0,1
298712210,8029,7853,0,1
298814317,8029,7853,0,1
298916202,8029,7853,0,1
299018218,8029,7855,0,1
299120217,8031,7855,0,1
299222208,8031,7855,0,1
299324511,8032,7867,0,1
299426202,8043,7867,0,1
299528218,8043,7869,0,1
299630217,8045,7869,0,1
299732202,8045,7869,0,1
299834337,8045,7869,0,1
299936205,8045,7869,0,1
300038218,8045,7871,0,1
300140218,8047,7871,0,1
300242202,8048,7871,0,1
300344534,8048,7883,0,1
300446201,8059,7883,0,1
300548218,8059,7885,0,1
300650220,8061,7885,0,1
300752202,8061,7885,0,1
300854315,8061,7885,0,1
