timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode
436562146,1,0,1,0,0,0,0
437068166,1,0,1,0,0,0,0
437574568,1,0,1,0,0,0,0
438080176,1,0,1,0,0,0,0
438586147,1,0,1,0,0,0,0
439092146,1,0,1,0,0,0,0
439598146,1,0,1,0,0,0,0
440104630,1,0,1,0,0,0,0
440610174,1,0,1,0,0,0,0
441116295,1,0,1,0,0,0,0
441622145,1,0,1,0,0,0,0
442128147,1,0,1,0,0,0,0
442634386,1,0,1,0,0,0,0
443140207,1,0,1,0,0,0,0
443646146,1,0,1,0,0,0,0
444152146,1,0,1,0,0,0,0
444658147,1,0,1,0,0,0,0
445164512,1,0,1,0,0,0,0
445670175,1,0,1,0,0,0,0
446176147,1,0,1,0,0,0,0
446682146,1,0,1,0,0,0,0
447188147,1,0,1,0,0,0,0
447694560,1,0,1,0,0,0,0
448200176,1,0,1,0,0,0,0
448706147,1,0,1,0,0,0,0
449212146,1,0,1,0,0,0,0
449718148,1,0,1,0,0,0,0
450224352,1,0,1,0,0,0,0
450730175,1,0,1,0,0,0,0
451236147,1,0,1,0,0,0,0
451742146,1,0,1,0,0,0,0
452248166,1,0,1,0,0,0,0
452754540,1,0,1,0,0,0,0
453260251,1,0,1,0,0,0,0
453766146,1,0,1,0,0,0,0
454272146,1,0,1,0,0,0,0
454778147,1,0,1,0,0,0,0
455284432,1,0,1,0,0,0,0
455790175,1,0,1,0,0,0,0
456296151,1,0,1,0,0,0,0
456802145,1,0,1,0,0,0,0
457308200,1,0,1,0,0,0,0
457814457,1,0,1,0,0,0,0
458320209,1,0,1,0,0,0,0
458826274,1,0,1,0,0,0,0
459332146,1,0,1,0,0,0,0
459838146,1,0,1,0,0,0,0
460344534,1,0,1,0,0,0,0
460850225,1,0,1,0,0,0,0
461356171,1,0,1,0,0,0,0
461862146,1,0,1,0,0,0,0
462368167,1,0,1,0,0,0,0
462874337,1,0,1,0,0,0,0
463380242,1,0,1,0,0,0,0
463886168,1,0,1,0,0,0,0
464392146,1,0,1,0,0,0,0
464898146,1,0,1,0,0,0,0
465404594,1,0,1,0,0,0,0
465910190,1,0,1,0,0,0,0
466416150,1,0,1,0,0,0,0
466922146,1,0,1,0,0,0,0
467428147,1,0,1,0,0,0,0
467934519,1,0,1,0,0,0,0
468440352,1,0,1,0,0,0,0
468946147,1,0,1,0,0,0,0
469452146,1,0,1,0,0,0,0
469958146,1,0,1,0,0,0,0
470464342,1,0,1,0,0,0,0
470970176,1,0,1,0,0,0,0
471476162,1,0,1,0,0,0,0
471982145,1,0,1,0,0,0,0
472488146,1,0,1,0,0,0,0
472994586,1,0,1,0,0,0,0
473500177,1,0,1,0,0,0,0
474006146,1,0,1,0,0,0,0
474512146,1,0,1,0,0,0,0
475018164,1,0,1,0,0,0,0
475524426,1,0,1,0,0,0,0
476030176,1,0,1,0,0,0,0
476536148,1,0,1,0,0,0,0
477042145,1,0,1,0,0,0,0
477548147,1,0,1,0,0,0,0
478054610,1,0,1,0,0,0,0
478560175,1,0,1,0,0,0,0
479066146,1,0,1,0,0,0,0
479572146,1,0,1,0,0,0,0
480078147,1,0,1,0,0,0,0
480584349,1,0,1,0,0,0,0
481090179,1,0,1,0,0,0,0
481596147,1,0,1,0,0,0,0
482102145,1,0,1,0,0,0,0
482608147,1,0,1,0,0,0,0
483114508,1,0,1,0,0,0,0
483620222,1,0,1,0,0,0,0
484126146,1,0,1,0,0,0,0
484632147,1,0,1,0,0,0,0
485138147,1,0,1,0,0,0,0
485644521,1,0,1,0,0,0,0
486150175,1,0,1,0,0,0,0
486656158,1,0,1,0,0,0,0
487162146,1,0,1,0,0,0,0
487668205,1,0,1,0,0,0,0
488174356,1,0,1,0,0,0,0
488680212,1,0,1,0,0,0,0
489186147,1,0,1,0,0,0,0
489692165,1,0,1,0,0,0,0
490198165,1,0,1,0,0,0,0
490704354,1,0,1,0,0,0,0
491210175,1,0,1,0,0,0,0
491716149,1,0,1,0,0,0,0
492222145,1,0,1,0,0,0,0
492728146,1,0,1,0,0,0,0
493234603,1,0,1,0,0,0,0
493740225,1,0,1,0,0,0,0
494246449,1,0,1,0,0,0,0
494752147,1,0,1,0,0,0,0
495258147,1,0,1,0,0,0,0
495764550,1,0,1,0,0,0,0
496270174,1,0,1,0,0,0,0
496776153,1,0,1,0,0,0,0
497282256,1,0,1,0,0,0,0
497788166,1,0,1,0,0,0,0
498294560,1,0,1,0,0,0,0
498800178,1,0,1,0,0,0,0
499306147,1,0,1,0,0,0,0
499812146,1,0,1,0,0,0,0
500318164,1,0,1,0,0,0,0
500824355,1,0,1,0,0,0,0
501330177,1,0,1,0,0,0,0
501836147,1,0,1,0,0,0,0
502342145,1,0,1,0,0,0,0
502848150,1,0,1,0,0,0,0
503354348,1,0,1,0,0,0,0
503860175,1,0,1,0,0,0,0
504366157,1,0,1,0,0,0,0
504872146,1,0,1,0,0,0,0
505378166,1,0,1,0,0,0,0
505884348,1,0,1,0,0,0,0
506390242,1,0,1,0,0,0,0
506896147,1,0,1,0,0,0,0
507402146,1,0,1,0,0,0,0
507908147,1,0,1,0,0,0,0
508414375,1,0,1,0,0,0,0
