timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,dist_bottom_var,delta_dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max_z,hagl_max_xy,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_reset_counter,dist_bottom_sensor_bitfield,dead_reckoning
282396690,282396435,0,nan,nan,-0.017078929,-0.16513658,-1.8879548,0.0150714135,-0.023842663,0.18027699,0.011056523,-0.012196806,-0.050994687,-0.01679918,-2.6055152,-1.0446019,-0.00017852186,0.4357567,0.16937898,0.18586393,1.4835545,0.00014666693,-0.07487941,1.5639687,2.2672048e-05,nan,1.7274585,3.3425732,0.18027699,0.031361077,0.020300535,0.056830384,0.03300313,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
282896838,282896435,0,nan,nan,0.0134367915,-0.18281,-1.8905969,0.0150714135,-0.023842663,0.18027699,0.025955945,-0.049675763,-0.036760766,-0.0027930895,-2.6055152,-1.0446019,-0.00017852186,-0.31692928,-0.7255943,0.5693244,1.4826999,0.00014628681,-0.076122165,1.5639687,2.2468834e-05,nan,1.737445,3.467576,0.18027699,0.030458324,0.019840728,0.055674136,0.032534808,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
283386842,283386435,0,nan,nan,0.054396406,-0.2047139,-1.9018096,0.0150714135,-0.023842663,0.18027699,0.01222532,-0.042821757,-0.04024036,-0.013791584,-2.6055152,-1.0446019,-0.00017852186,0.82560253,-0.5693445,0.37122163,1.4812063,0.00014625034,-0.078047514,1.5639687,2.2638724e-05,nan,1.7537376,3.5900795,0.18027699,0.031529345,0.020409472,0.05688597,0.033068314,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
283886847,283886435,0,nan,nan,0.05141062,-0.21883453,-1.9081486,0.0150714135,-0.023842663,0.18027699,-0.033465166,-0.021187838,-0.015276172,0.0065131173,-2.6055152,-1.0446019,-0.00017852186,0.32468453,-0.7850392,-0.40381384,1.4790491,0.00014569804,-0.08042741,1.5639687,2.2518518e-05,nan,1.7574764,3.7150822,0.18027699,0.030613827,0.019905556,0.05597105,0.032705314,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
284386839,284386435,0,nan,nan,0.03455784,-0.23447178,-1.8997017,0.0150714135,-0.023842663,0.18027699,-0.0432732,-0.00441913,-0.010188129,0.012283352,-2.6055152,-1.0446019,-0.00017852186,0.32979435,1.2866132,0.7365907,1.4777936,0.00014537245,-0.082015276,1.5639687,2.2527176e-05,nan,1.7513788,3.840085,0.18027699,0.030626466,0.01991875,0.055938903,0.032683376,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
284896843,284896435,0,nan,nan,-0.02463774,-0.24041761,-1.88638,0.0150714135,-0.023842663,0.18027699,-0.062481876,0.009742975,0.0091477875,0.03016039,-2.6055152,-1.0446019,-0.00017852186,1.32637,0.9279541,-0.3207272,1.4773978,0.0001455943,-0.08266091,1.5639687,2.2657268e-05,nan,1.741206,3.967594,0.18027699,0.031760316,0.020585489,0.05674259,0.03304578,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
285396694,285396435,0,nan,nan,-0.058797657,-0.27432024,-1.8785765,0.0150714135,-0.023842663,0.18027699,-0.02516614,-6.4995984e-06,-0.01027644,0.006179616,-2.6055152,-1.0446019,-0.00017852186,-0.6889357,-0.74974996,-0.17911774,1.4754485,0.00014529638,-0.08485055,1.5639687,2.2623506e-05,nan,1.7350824,4.092598,0.18027699,0.031040585,0.020167956,0.05637141,0.03283846,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
285896847,285896435,0,nan,nan,-0.07110492,-0.26460686,-1.8895662,0.0150714135,-0.023842663,0.18027699,0.013874495,0.046814147,-0.015614039,-0.0066000917,-2.6055152,-1.0446019,-0.00017852186,0.64897245,-0.7866969,0.7978799,1.4743925,0.0001456171,-0.08615327,1.5639687,2.2742142e-05,nan,1.7440548,4.217601,0.18027699,0.03228466,0.0208754,0.05734937,0.033250295,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
286396692,286396435,0,nan,nan,-0.0609205,-0.18802124,-1.898141,0.0150714135,-0.023842663,0.18027699,0.050982803,0.08997974,-0.032798562,-0.019540034,-2.6055152,-1.0446019,-0.00017852186,0.17974144,0.893673,0.36149156,1.4732352,0.00014547438,-0.08773959,1.5639687,2.2659899e-05,nan,1.7385732,4.3426166,0.18027699,0.031557307,0.02047319,0.056772072,0.033003334,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
286886691,286886435,0,nan,nan,-0.02938409,-0.17335789,-1.8918744,0.0150714135,-0.023842663,0.18027699,0.0721071,0.023590963,-0.041523896,-0.018259905,-2.6055152,-1.0446019,-0.00017852186,0.45958617,0.16674572,0.90350455,1.4723235,0.0001454541,-0.08866799,1.5639687,2.265691e-05,nan,1.7363153,4.4651203,0.18027699,0.031553242,0.020462504,0.056819264,0.033022914,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
