timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
287824372,287823837,0.7,3.6760426e-05,-2.631072,1.011967,0.7600754,1.0,1
287924371,287923836,0.7,3.763027e-05,-2.659078,1.0122218,0.7761469,1.0,1
288024383,288023837,0.7,3.841659e-05,-3.588601,1.0118752,1.4141026,1.0,1
288124374,288123840,0.7,4.3796932e-05,-2.0675945,1.0144352,0.4682351,1.0,1
288224406,288223838,0.7,4.6788144e-05,-3.4578862,1.01478,1.3092029,1.0,1
288324376,288323840,0.7,4.6103596e-05,-3.1342142,1.0146401,1.0757289,1.0,1
288424372,288423837,0.7,4.7080117e-05,-3.0043266,1.01571,0.98737484,1.0,1
288524229,288523837,0.7,4.4119777e-05,-2.6977315,1.0145963,0.79700613,1.0,1
288624388,288623840,0.7,4.93029e-05,-3.2539644,1.0156517,1.1583459,1.0,1
288724371,288723837,0.7,4.9521055e-05,-2.2650764,1.0163642,0.560885,1.0,1
288824227,288823839,0.7,4.776855e-05,-2.6892574,1.0157889,0.791077,1.0,1
288924228,288923839,0.7,4.485344e-05,-2.5768328,1.0164367,0.7258546,1.0,1
289024374,289023839,0.7,4.58972e-05,-2.7834017,1.0150115,0.84808284,1.0,1
289124377,289123836,0.7,4.334651e-05,-2.5518637,1.0141356,0.7134711,1.0,1
289224223,289223838,0.7,4.289233e-05,-2.4250681,1.0140345,0.64439577,1.0,1
289324229,289323836,0.7,4.2549505e-05,-2.8716311,1.013894,0.90369576,1.0,1
289424225,289423836,0.7,4.4264372e-05,-3.3417163,1.0139678,1.223693,1.0,1
289524425,289523839,0.7,4.3862467e-05,-2.6672509,1.0145987,0.7790959,1.0,1
289624221,289623836,0.7,4.1682935e-05,-2.983775,1.0138314,0.97571707,1.0,1
289724238,289723841,0.7,4.157925e-05,-2.3816183,1.0138359,0.62163305,1.0,1
289824377,289823838,0.7,4.487457e-05,-2.3158708,1.0151616,0.58701736,1.0,1
289924233,289923837,0.7,4.9388917e-05,-3.2761037,1.0159472,1.1738204,1.0,1
290024236,290023838,0.7,4.9640876e-05,-2.3215342,1.0168505,0.5889122,1.0,1
290124399,290123838,0.7,4.796815e-05,-2.5446627,1.0161068,0.7080739,1.0,1
290224531,290223887,0.7,4.6980153e-05,-3.1619377,1.0150065,1.0944483,1.0,1
290324227,290323836,0.7,4.9730734e-05,-3.2165353,1.0159577,1.1315104,1.0,1
290424384,290423838,0.7,4.8163958e-05,-2.2408707,1.0160713,0.54911953,1.0,1
290524237,290523837,0.7,4.8791946e-05,-2.670837,1.0163603,0.77983826,1.0,1
290624374,290623837,0.7,4.556639e-05,-2.2191677,1.015211,0.5389909,1.0,1
290724233,290723838,0.7,4.646225e-05,-2.5425506,1.0154374,0.707365,1.0,1
