timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
357474005,357473741,0.7400756,0.0065637557,-0.008303055,0.6724405,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
357974006,357973741,0.739615,0.008538355,-0.0042776573,0.67296255,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
358474039,358473741,0.74006057,0.0067735566,-0.0060469895,0.672479,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
358974025,358973741,0.7401482,0.0077918945,-0.012507019,0.6722824,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
359474010,359473741,0.7391752,0.009252535,-0.0151031185,0.6732803,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
359974002,359973740,0.737695,0.008827652,-0.016336078,0.6748788,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
360474006,360473741,0.7379607,0.005038894,-0.013366338,0.6746925,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
360974005,360973740,0.7387651,0.0131582655,-0.011205045,0.67374146,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
361474079,361473742,0.73843116,0.013694202,-0.0040872796,0.6741775,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
361974040,361973743,0.73522085,0.00910238,-0.00131091,0.6777653,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
362474030,362473741,0.7326329,0.007538873,-0.0051574716,0.68056273,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
362974012,362973740,0.73191845,0.006251339,-0.006765991,0.68132997,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
363474005,363473741,0.7346896,0.004467179,-0.012805822,0.6782679,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
363974016,363973741,0.73804736,0.0095906,-0.014985842,0.6745144,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
364474012,364473741,0.740304,0.009332961,-0.00905001,0.6721467,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
364974007,364973741,0.7420677,0.011764728,-0.011940793,0.6701154,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
365474047,365473743,0.7430034,0.010269902,-0.008177381,0.66915894,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
365974011,365973741,0.7440946,0.0065413374,-0.00569103,0.6680181,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
366474002,366473741,0.74373436,0.008890249,-0.0049104807,0.6683982,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
366974008,366973741,0.74074984,0.0063651414,-0.0015269443,0.6717492,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
367474011,367473741,0.7386952,0.007222329,-0.006051056,0.6739738,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
367974015,367973741,0.7375215,0.009769992,-0.005789361,0.67522824,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
368474037,368473741,0.7377092,0.012132688,-0.007241122,0.6749708,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
368974034,368973743,0.7378616,0.0059705307,-0.0096803475,0.67485636,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
369474061,369473767,0.7380316,0.0064725447,-0.008950155,0.67467576,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
