timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time,source_protocol
499925656,1781807357296829,-1781806857371711,-1781806857369807,1069,2
500929921,1781807358301179,-1781806857371607,-1781806857369815,693,2
501935381,1781807359306619,-1781806857371634,-1781806857369823,786,2
502939975,1781807360311202,-1781806857371622,-1781806857369832,784,2
503946179,1781807361316988,-1781806857371550,-1781806857369840,1474,2
504950036,1781807362321253,-1781806857371590,-1781806857369848,740,2
505955230,1781807363326419,-1781806857371606,-1781806857369857,827,2
506959865,1781807364331157,-1781806857371637,-1781806857369865,682,2
507963101,1781807365334334,-1781806857371702,-1781806857369874,931,2
508965513,1781807366336782,-1781806857371759,-1781806857369883,973,2
509969848,1781807367341159,-1781806857371610,-1781806857369891,593,2
510976255,1781807368347117,-1781806857371669,-1781806857369900,1570,2
511979837,1781807369351231,-1781806857371700,-1781806857369908,607,2
512986007,1781807370357063,-1781806857371836,-1781806857369917,1555,2
513990225,1781807371361529,-1781806857371771,-1781806857369926,929,2
514993826,1781807372364573,-1781806857371510,-1781806857369934,1520,2
515995695,1781807373367038,-1781806857371895,-1781806857369943,1099,2
516997965,1781807374369318,-1781806857371641,-1781806857369952,571,2
518000041,1781807375371431,-1781806857371824,-1781806857369961,863,2
519005573,1781807376376989,-1781806857371913,-1781806857369970,986,2
520010155,1781807377381462,-1781806857371757,-1781806857369978,894,2
521015446,1781807378386881,-1781806857371882,-1781806857369987,888,2
522020006,1781807379391410,-1781806857371827,-1781806857369996,807,2
523025996,1781807380397275,-1781806857372087,-1781806857370006,1611,2
524029737,1781807381401264,-1781806857371795,-1781806857370015,531,2
525035416,1781807382406890,-1781806857371980,-1781806857370025,1007,2
526039910,1781807383411406,-1781806857371856,-1781806857370034,715,2
527046135,1781807384417213,-1781806857371807,-1781806857370043,1451,2
528050026,1781807385421473,-1781806857371844,-1781806857370051,789,2
529055451,1781807386426850,-1781806857371873,-1781806857370060,942,2
530059966,1781807387431414,-1781806857371844,-1781806857370069,787,2
531065582,1781807388437139,-1781806857372064,-1781806857370078,1008,2
532070325,1781807389441613,-1781806857371850,-1781806857370087,1118,2
533075645,1781807390447188,-1781806857372069,-1781806857370097,1044,2
