timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,open_drone_id_system_healthy,parachute_system_healthy
399138240,1200.0,0.29984155,495.07205,0.0,6844,0,16.83245,397,0,0,0,104,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400388308,1200.0,0.29984155,450.49463,0.0,6867,0,16.831667,399,0,0,0,104,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401648380,1200.0,0.29984155,714.8522,0.0,6884,0,33.6634,400,0,0,0,104,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402908288,1200.0,0.29984155,418.9996,0.0,6900,0,0.0,401,0,0,0,104,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403918241,1200.0,0.29984155,531.65894,0.0,6918,0,16.830917,402,0,0,0,104,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404158280,1200.0,0.29984155,531.65894,0.0,6924,0,16.830917,402,0,0,0,104,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405418240,1200.0,0.29984155,552.47473,0.0,6943,0,0.0,403,0,0,0,104,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406668282,1200.0,0.29984155,459.40637,0.0,6958,0,16.8317,405,0,0,0,106,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407928238,1200.0,0.29984155,590.099,0.0,6980,0,33.66337,406,0,0,0,106,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408938299,1200.0,0.29984155,550.99945,0.0,6993,0,0.0,407,0,0,0,106,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409188238,1200.0,0.29984155,550.99945,0.0,6998,0,0.0,407,0,0,0,106,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410438379,1200.0,0.29984155,702.0122,0.0,7021,0,33.6649,409,0,0,0,106,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411688282,1200.0,0.29984155,521.98846,0.0,7039,0,0.0,410,0,0,0,106,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412958370,1200.0,0.29984155,516.84344,0.0,7056,0,33.664135,411,0,0,0,106,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413968332,1200.0,0.29984155,527.9995,0.0,7074,0,16.999985,412,0,0,0,106,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414208239,1200.0,0.29984155,527.9995,0.0,7081,0,16.999985,412,0,0,0,106,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415468302,1200.0,0.29984155,450.49506,0.0,7096,0,33.66337,414,0,0,0,106,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
