timestamp,voltage5v_v,voltage_payload_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid,payload_v_valid
408087035,5.0401335,0.0,3.3311188,3.3287017,3.3252776,3.3248749,15,0,1,0,1,0,0,0,0,0
408597018,5.041644,0.0,3.3028197,3.3283997,3.329306,3.3273926,15,0,1,0,1,0,0,0,0,0
409087018,5.0380187,0.0,3.331018,3.3286011,3.325882,3.3281982,15,0,1,0,1,0,0,0,0,0
409587018,5.0398316,0.0,3.3353484,3.3276947,3.3292053,3.325781,15,0,1,0,1,0,0,0,0,0
410087018,5.034091,0.0,3.3201416,3.3286011,3.3290038,3.3259826,15,0,1,0,1,0,0,0,0,0
410587020,5.032379,0.0,3.3352478,3.3280976,3.3281982,3.3262846,15,0,1,0,1,0,0,0,0,0
411087018,5.0417447,0.0,3.3356507,3.3325286,3.326889,3.3286011,15,0,1,0,1,0,0,0,0,0
411587018,5.036105,0.0,3.3361542,3.3279967,3.3312194,3.3245728,15,0,1,0,1,0,0,0,0,0
412097018,5.027243,0.0,3.3364563,3.3262846,3.327896,3.327896,15,0,1,0,1,0,0,0,0,0
412587018,5.034695,0.0,3.3363554,3.327896,3.3292053,3.3240693,15,0,1,0,1,0,0,0,0,0
413087018,5.0368104,0.0,3.3011076,3.3318236,3.327896,3.3250763,15,0,1,0,1,0,0,0,0,0
413587017,5.0345945,0.0,3.3165162,3.3267882,3.3281982,3.3253784,15,0,1,0,1,0,0,0,0,0
414087021,5.035098,0.0,3.3217528,3.3305144,3.3277953,3.3289032,15,0,1,0,1,0,0,0,0,0
414587018,5.0339904,0.0,3.3039277,3.3302124,3.3290038,3.32558,15,0,1,0,1,0,0,0,0,0
415087018,5.0290556,0.0,3.3042297,3.3294067,3.3241699,3.3260834,15,0,1,0,1,0,0,0,0,0
415597018,5.0331845,0.0,3.314502,3.3309174,3.3276947,3.3270905,15,0,1,0,1,0,0,0,0,0
416087018,5.038925,0.0,3.3288023,3.3283997,3.3238678,3.3263855,15,0,1,0,1,0,0,0,0,0
416587018,5.0378175,0.0,3.3071501,3.3311188,3.3266876,3.3270905,15,0,1,0,1,0,0,0,0,0
417087018,5.0429535,0.0,3.3352478,3.3315215,3.3295074,3.325781,15,0,1,0,1,0,0,0,0,0
417587018,5.0394287,0.0,3.330716,3.3287017,3.3280976,3.3263855,15,0,1,0,1,0,0,0,0,0
418087018,5.0380187,0.0,3.3031218,3.331018,3.3245728,3.329306,15,0,1,0,1,0,0,0,0,0
418587018,5.0342927,0.0,3.3038268,3.3301117,3.3232634,3.3283997,15,0,1,0,1,0,0,0,0,0
419097017,5.0318756,0.0,3.318933,3.3306153,3.3291047,3.325177,15,0,1,0,1,0,0,0,0,0
419587018,5.036508,0.0,3.330313,3.3276947,3.3245728,3.324774,15,0,1,0,1,0,0,0,0,0
420087017,5.036508,0.0,3.3156097,3.332428,3.3287017,3.3270905,15,0,1,0,1,0,0,0,0,0
420587018,5.0374146,0.0,3.3057404,3.3290038,3.3286011,3.3238678,15,0,1,0,1,0,0,0,0,0
421087018,5.0331845,0.0,3.3342407,3.327191,3.326184,3.3276947,15,0,1,0,1,0,0,0,0,0
421587019,5.0370116,0.0,3.3023162,3.3304138,3.3240693,3.3273926,15,0,1,0,1,0,0,0,0,0
422087018,5.032077,0.0,3.325177,3.3302124,3.3294067,3.3253784,15,0,1,0,1,0,0,0,0,0
422597018,5.0385222,0.0,3.3248749,3.3304138,3.3238678,3.325781,15,0,1,0,1,0,0,0,0,0
423087018,5.036105,0.0,3.3342407,3.3277953,3.326889,3.3260834,15,0,1,0,1,0,0,0,0,0
423587018,5.038321,0.0,3.3250763,3.3260834,3.3279967,3.3286011,15,0,1,0,1,0,0,0,0,0
424087018,5.030969,0.0,3.3015106,3.3287017,3.3260834,3.325781,15,0,1,0,1,0,0,0,0,0
424587019,5.0354004,0.0,3.3036253,3.3312194,3.3250763,3.32558,15,0,1,0,1,0,0,0,0,0
425087018,5.036307,0.0,3.3138976,3.3277953,3.3269897,3.3252776,15,0,1,0,1,0,0,0,0,0
425587018,5.0343933,0.0,3.3112793,3.3311188,3.3277953,3.326587,15,0,1,0,1,0,0,0,0,0
426097018,5.0385222,0.0,3.3110778,3.3285003,3.326184,3.3273926,15,0,1,0,1,0,0,0,0,0
426587018,5.0370116,0.0,3.3191345,3.3295074,3.3289032,3.3256805,15,0,1,0,1,0,0,0,0,0
427087018,5.0342927,0.0,3.33273,3.3274932,3.3270905,3.3239684,15,0,1,0,1,0,0,0,0,0
427587017,5.0342927,0.0,3.321048,3.3315215,3.3304138,3.324472,15,0,1,0,1,0,0,0,0,0
428087018,5.0294585,0.0,3.3304138,3.3276947,3.3285003,3.3249755,15,0,1,0,1,0,0,0,0,0
428587018,5.0367093,0.0,3.3288023,3.3298094,3.3281982,3.325882,15,0,1,0,1,0,0,0,0,0
429087020,5.035904,0.0,3.3346436,3.3274932,3.3280976,3.3243713,15,0,1,0,1,0,0,0,0,0
429597018,5.039026,0.0,3.3326294,3.3289032,3.3292053,3.327896,15,0,1,0,1,0,0,0,0,0
430087018,5.0249267,0.0,3.3273926,3.330011,3.3262846,3.3260834,15,0,1,0,1,0,0,0,0,0
430587020,5.0349975,0.0,3.3205445,3.3304138,3.3240693,3.3263855,15,0,1,0,1,0,0,0,0,0
431087018,5.0358033,0.0,3.304834,3.3297088,3.3294067,3.3252776,15,0,1,0,1,0,0,0,0,0
431587018,5.039026,0.0,3.3034241,3.3298094,3.327896,3.324774,15,0,1,0,1,0,0,0,0,0
432087018,5.038321,0.0,3.3025177,3.3304138,3.3263855,3.3270905,15,0,1,0,1,0,0,0,0,0
432587018,5.0356016,0.0,3.3216522,3.3306153,3.3286011,3.326889,15,0,1,0,1,0,0,0,0,0
433097018,5.023819,0.0,3.3040283,3.3292053,3.3259826,3.3256805,15,0,1,0,1,0,0,0,0,0
433597018,5.033084,0.0,3.306143,3.3306153,3.3242705,3.3263855,15,0,1,0,1,0,0,0,0,0
434087018,5.037918,0.0,3.3174224,3.3315215,3.325781,3.3290038,15,0,1,0,1,0,0,0,0,0
434587022,5.031674,0.0,3.3160126,3.3290038,3.3250763,3.3238678,15,0,1,0,1,0,0,0,0,0
435087017,5.0325804,0.0,3.3064454,3.3305144,3.325882,3.326889,15,0,1,0,1,0,0,0,0,0
435587018,5.037616,0.0,3.307956,3.3306153,3.3297088,3.326587,15,0,1,0,1,0,0,0,0,0
436087018,5.026135,0.0,3.3029206,3.3281982,3.3304138,3.3232634,15,0,1,0,1,0,0,0,0,0
436597018,5.038321,0.0,3.3076537,3.3305144,3.3287017,3.32558,15,0,1,0,1,0,0,0,0,0
437087018,5.033084,0.0,3.3337371,3.3294067,3.326184,3.3266876,15,0,1,0,1,0,0,0,0,0
437587018,5.0391264,0.0,3.3249755,3.3286011,3.3246734,3.3266876,15,0,1,0,1,0,0,0,0,0
438087018,5.0380187,0.0,3.3349457,3.3273926,3.3226593,3.3249755,15,0,1,0,1,0,0,0,0,0
438587020,5.029358,0.0,3.3054383,3.3315215,3.3273926,3.3253784,15,0,1,0,1,0,0,0,0,0
439087017,5.0213013,0.0,3.305539,3.332025,3.3242705,3.3319244,15,0,1,0,1,0,0,0,0,0
439587019,5.0270414,0.0,3.3353484,3.3273926,3.3291047,3.325781,15,0,1,0,1,0,0,0,0,0
440097021,5.033688,0.0,3.3350463,3.327896,3.326486,3.3256805,15,0,1,0,1,0,0,0,0,0
440597018,5.0358033,0.0,3.3042297,3.3302124,3.3266876,3.3269897,15,0,1,0,1,0,0,0,0,0
441087018,5.0356016,0.0,3.3328307,3.3282988,3.3232634,3.32558,15,0,1,0,1,0,0,0,0,0
441587018,5.0339904,0.0,3.3023162,3.3298094,3.32558,3.326184,15,0,1,0,1,0,0,0,0,0
442087018,5.0245237,0.0,3.3030212,3.332126,3.331018,3.3250763,15,0,1,0,1,0,0,0,0,0
442587018,5.036508,0.0,3.3050354,3.3305144,3.3285003,3.3267882,15,0,1,0,1,0,0,0,0,0
443087018,5.0341916,0.0,3.3215516,3.327896,3.327191,3.3269897,15,0,1,0,1,0,0,0,0,0
443597018,5.0398316,0.0,3.306244,3.3288023,3.327896,3.3272917,15,0,1,0,1,0,0,0,0,0
444087018,5.0304656,0.0,3.3060424,3.3305144,3.3253784,3.326587,15,0,1,0,1,0,0,0,0,0
