timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_filtered[0],innovation_filtered[1],innovation_filtered[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],test_ratio_filtered[0],test_ratio_filtered[1],test_ratio_filtered[2],estimator_instance,innovation_rejected,fused
434995938,434895661,434895661,0,-0.1297642,-0.08861808,-0.9875769,1.0,1.0,1.0,0.09983694,0.10318408,-0.0118691325,-0.0051887305,0.005384048,-0.009018796,1.0000107,1.0000122,1.0,0.15947692,0.17034921,0.002254021,-0.00075926766,0.00474982,-0.0025510956,1,0,1
435495981,435395661,435395661,0,-0.029525068,-0.07496633,-0.99674886,1.0,1.0,1.0,-0.0022009015,0.084288955,-0.0027042627,-0.010388512,0.010833049,-0.009705203,1.0000107,1.0000122,1.0,7.750265e-05,0.11367266,0.00011700859,-0.04800856,0.021263314,-0.0028479411,1,0,1
436005939,435905661,435905661,0,0.032183103,0.10971074,-0.9934424,1.0,1.0,1.0,-0.060330488,-0.10708792,-0.0061579347,-0.009390164,0.0060127294,-0.00851032,1.0000107,1.0000122,1.0,0.058235656,0.18348292,0.00060672255,-0.032633234,-0.0009643719,-0.002143956,1,0,1
436505938,436405662,436405662,0,-0.021699632,0.04197729,-0.99888283,1.0,1.0,1.0,0.00796863,-0.035398386,-0.001001358,-0.0012227553,0.006134859,-0.009775497,1.0000106,1.0000123,1.0,0.0010159741,0.020048486,1.6043487e-05,-0.009522588,0.0142748365,-0.002551549,1,0,1
437005964,436905661,436905661,0,-0.23953296,0.016633423,-0.97074574,1.0,1.0,1.0,0.23323932,-0.015775532,-0.029234052,0.008800956,0.0039536664,-0.01032389,1.0000107,1.0000123,1.0,0.87039995,0.0039818296,0.013674077,0.04118514,0.009012461,-0.0029087325,1,0,1
437496086,437395662,437395662,0,-0.22763486,0.07326558,-0.97098637,1.0,1.0,1.0,0.22087675,-0.07461511,-0.028989851,0.0152474055,-0.0020574273,-0.008997266,1.0000107,1.0000123,1.0,0.7805762,0.08907755,0.013446583,0.040148105,-0.004906968,-0.002490485,1,0,1
437995934,437895661,437895661,0,-0.01097831,0.05335016,-0.9985155,1.0,1.0,1.0,0.0018679108,-0.055554226,-0.0014404655,0.014269116,-0.00092189934,-0.008228746,1.0000107,1.0000123,1.0,5.5824854e-05,0.049379744,3.3199052e-05,0.038227722,0.002605052,-0.001873792,1,0,1
438496088,438395661,438395661,0,-0.0126816565,0.026778316,-0.9995609,1.0,1.0,1.0,-0.00973907,-0.03239806,-0.0001719594,0.0065148063,-0.0046399133,-0.008085207,1.0000107,1.0000123,1.0,0.0015175755,0.016793942,4.7312056e-07,0.021096794,-0.0055940663,-0.0018554402,1,0,1
438995966,438895661,438895661,0,-0.1756975,-0.06728538,-0.98214203,1.0,1.0,1.0,0.14547278,0.062151473,-0.017387986,0.0006501685,-0.007177254,-0.0073142545,1.0000106,1.0000123,1.0,0.33859366,0.06180413,0.004837473,-0.00010845331,-0.011664336,-0.001578345,1,0,1
439506093,439405661,439405661,0,0.047796167,-0.001196237,-0.9988564,1.0,1.0,1.0,-0.07815789,-0.007919205,-0.00064098835,-0.00536403,-0.002853327,-0.0062568155,1.0000106,1.0000123,1.0,0.09773745,0.0010034087,6.573857e-06,-0.013717931,-0.009291242,-0.0012237012,1,0,1
