timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
335275790,335275661,3407890,3407890,0.00020616483,0.00012574335,1.9779067e-05,-0.00378154,0.0011333061,-0.0465927,5000,5000,0,0,1,1
335770789,335770661,3407890,3407890,-2.9329054e-05,0.00011959331,-6.0448016e-05,0.0057204184,0.001644356,-0.04948571,5000,5000,0,0,1,1
336270790,336270661,3407890,3407890,-0.00030569106,3.8361457e-05,-0.00010747716,0.012074973,0.0039610798,-0.04465901,5000,5000,0,0,1,1
336770793,336770661,3407890,3407890,6.420563e-05,-3.901495e-06,4.9157632e-05,0.0064944285,-0.007155836,-0.052376047,5000,5000,0,0,1,1
337270789,337270661,3407890,3407890,-0.0002260361,7.6281205e-05,7.324616e-06,0.005164518,0.0025345858,-0.054886855,5000,5000,0,0,1,1
337770802,337770661,3407890,3407890,-0.00017921459,-4.207209e-05,-7.599648e-05,0.0067462656,0.016694482,-0.042491026,5000,5000,0,0,1,1
338270790,338270661,3407890,3407890,-3.3952103e-06,9.1614536e-05,-8.646537e-05,-0.0051095295,0.0010040593,-0.04919803,5000,5000,0,0,1,1
338775789,338775661,3407890,3407890,0.00043182826,-6.578594e-05,3.2709355e-05,-0.0015585667,-0.005794175,-0.04449627,5000,5000,0,0,1,1
339270788,339270661,3407890,3407890,-0.00041097694,0.00027849188,-3.0081945e-05,0.0024281307,0.0056723324,-0.05471433,5000,5000,0,0,1,1
339770794,339770665,3407890,3407890,-0.0001257527,4.7673908e-05,-4.5080014e-05,-0.013241,-0.002616978,-0.04735327,5004,5004,0,0,1,1
340270792,340270661,3407890,3407890,0.00031534224,-0.00013860138,5.4762815e-05,-0.0101386355,-0.006032444,-0.037304748,5000,5000,0,0,1,1
340770790,340770661,3407890,3407890,-0.00024024927,0.0001406936,3.378469e-05,0.0052653393,-0.0037947386,-0.041896842,5000,5000,0,0,1,1
341270790,341270662,3407890,3407890,-2.0859326e-05,-9.934025e-05,-2.683499e-05,0.0036432238,-0.006201942,-0.05142553,5001,5001,0,0,1,1
341770788,341770661,3407890,3407890,0.0005036862,-0.00015359893,5.253591e-05,0.0005949881,-0.013113772,-0.05224002,5000,5000,0,0,1,1
342270795,342270661,3407890,3407890,0.00010488124,6.653112e-05,3.9967566e-05,0.009214652,-0.0049780114,-0.05462849,5000,5000,0,0,1,1
342770790,342770661,3407890,3407890,-0.0003739983,0.00016151556,3.5591976e-05,0.0013456334,0.0033144467,-0.061176073,5000,5000,0,0,1,1
343270788,343270661,3407890,3407890,2.6161377e-05,-0.00010924895,9.411128e-05,0.005182269,0.008543374,-0.046217997,5000,5000,0,0,1,1
343770789,343770661,3407890,3407890,-0.00045243578,3.768832e-05,-1.4597235e-05,0.005956452,0.0040927725,-0.05036903,4972,4972,0,0,1,1
344270791,344270661,3407890,3407890,0.00050401746,-0.00012511677,3.2182266e-05,-0.006587966,-0.0071647684,-0.04749595,5000,5000,0,0,1,1
344770788,344770661,3407890,3407890,0.00023880777,9.492961e-05,-3.065654e-05,-0.0016078494,0.0046489015,-0.051370416,5000,5000,0,0,1,1
345270789,345270661,3407890,3407890,0.00028335908,-0.00035702655,-0.00011621325,-0.012457993,-0.006374104,-0.04557486,5000,5000,0,0,1,1
345775789,345775661,3407890,3407890,0.00023949673,7.428701e-05,-5.8644124e-05,0.009252154,-0.0035175832,-0.052085217,5000,5000,0,0,1,1
346270789,346270661,3407890,3407890,0.0007242152,-8.036948e-05,4.7922083e-05,0.0012890762,-0.019851012,-0.047007788,5000,5000,0,0,1,1
346770790,346770661,3407890,3407890,-0.0005959474,0.00032704312,-9.169982e-05,0.0029765926,0.005139168,-0.05167526,5000,5000,0,0,1,1
347270792,347270661,3407890,3407890,0.0009314613,-0.0002693331,9.0729656e-05,-0.0053639035,-0.014453668,-0.04781756,5000,5000,0,0,1,1
347770790,347770661,3407890,3407890,-0.00026616585,8.394044e-05,-0.00025267448,-0.0014944894,0.0035141935,-0.048647884,5000,5000,0,0,1,1
348270785,348270661,3407890,3407890,3.795078e-05,-0.00024421324,-8.3181054e-05,-0.013787182,0.009762398,-0.040453784,5000,5000,0,0,1,1
348770790,348770661,3407890,3407890,-0.00019910422,2.2677614e-05,4.491263e-05,0.00093745865,-0.0038503488,-0.055261485,5000,5000,0,0,1,1
349275790,349275661,3407890,3407890,0.00014444218,-3.276698e-05,3.8751932e-05,0.0058987234,-0.006787359,-0.05306842,5000,5000,0,0,1,1
349770789,349770661,3407890,3407890,0.00024141668,-7.22867e-05,5.2874144e-05,0.0045129308,-0.014115359,-0.052156862,5000,5000,0,0,1,1
350270790,350270661,3407890,3407890,-0.00021621256,3.2015643e-05,6.0092083e-05,-0.0043996125,0.0011212685,-0.043994613,5000,5000,0,0,1,1
350770803,350770661,3407890,3407890,0.00021564701,0.00023196492,2.1390364e-05,-0.003400329,0.008763618,-0.06817396,5000,5000,0,0,1,1
351270790,351270661,3407890,3407890,-0.0002223543,0.0002645115,-5.7633402e-05,0.0029398287,0.0074079894,-0.056996737,5000,5000,0,0,1,1
351770789,351770661,3407890,3407890,-0.00027811466,0.0002825565,-3.66689e-05,-0.00045530594,-0.0073304735,-0.04568725,5000,5000,0,0,1,1
352270789,352270661,3407890,3407890,0.00016245032,-8.8926055e-05,1.6182288e-05,-0.00014531365,0.013974456,-0.07109701,5000,5000,0,0,1,1
352775797,352775661,3407890,3407890,-0.00048266526,0.00024092273,-7.122319e-05,0.0091205975,0.014700213,-0.053917937,5000,5000,0,0,1,1
353270791,353270661,3407890,3407890,0.00020993006,-0.00027320287,-5.0966864e-05,-0.012150375,0.013842144,-0.050818212,5000,5000,0,0,1,1
353770789,353770661,3407890,3407890,0.0002180854,0.000106625324,-0.000118886404,-0.014376029,-0.0019929062,-0.051186908,5000,5000,0,0,1,1
354270792,354270661,3407890,3407890,-0.0002123195,-2.9156705e-05,-6.60236e-05,-0.0007203973,0.0014228418,-0.05190061,5000,5000,0,0,1,1
354770796,354770661,3407890,3407890,-0.0004669708,-0.00018733196,-7.168898e-05,-0.011590806,0.0044387938,-0.045403045,5000,5000,0,0,1,1
355270788,355270661,3407890,3407890,0.0002531414,-0.00022276367,-6.5001026e-05,-0.019029485,-0.0024174312,-0.03486252,5000,5000,0,0,1,1
