timestamp,timestamp_sample,information_event_changes,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
344394341,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
345404331,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
346414364,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
347424355,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
348434349,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
349444190,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
350454354,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
351464193,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
352474176,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
353484352,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
354494394,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
355504190,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
356514184,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
357524184,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
358534330,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
359544338,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
360554353,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
361564187,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
362574191,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
363584372,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
