timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch,payload_power_switch,engage_main_motor_switch
411778424,411747399,3,4,3,0,0,0,3,0,0,0,0,0,0
412790851,412759103,3,4,3,0,0,0,3,0,0,0,0,0,0
413803177,413772420,3,4,3,0,0,0,3,0,0,0,0,0,0
414814701,414783510,3,4,3,0,0,0,3,0,0,0,0,0,0
415827137,415796417,3,4,3,0,0,0,3,0,0,0,0,0,0
416838045,416807176,3,4,3,0,0,0,3,0,0,0,0,0,0
417850212,417819375,3,4,3,0,0,0,3,0,0,0,0,0,0
418862663,418830976,3,4,3,0,0,0,3,0,0,0,0,0,0
419874973,419843277,3,4,3,0,0,0,3,0,0,0,0,0,0
420885562,420855159,3,4,3,0,0,0,3,0,0,0,0,0,0
421894896,421863483,3,4,3,0,0,0,3,0,0,0,0,0,0
422907430,422876274,3,4,3,0,0,0,3,0,0,0,0,0,0
423919507,423888096,3,4,3,0,0,0,3,0,0,0,0,0,0
424931458,424900153,3,4,3,0,0,0,3,0,0,0,0,0,0
425941888,425910844,3,4,3,0,0,0,3,0,0,0,0,0,0
426952650,426921013,3,4,3,0,0,0,3,0,0,0,0,0,0
427964538,427932644,3,4,3,0,0,0,3,0,0,0,0,0,0
428974986,428943269,3,4,3,0,0,0,3,0,0,0,0,0,0
429985686,429955014,3,4,3,0,0,0,3,0,0,0,0,0,0
430996132,430964842,3,4,3,0,0,0,3,0,0,0,0,0,0
432009114,431978165,3,4,3,0,0,0,3,0,0,0,0,0,0
433022118,432990831,3,4,3,0,0,0,3,0,0,0,0,0,0
434033310,434002085,3,4,3,0,0,0,3,0,0,0,0,0,0
435045987,435014659,3,4,3,0,0,0,3,0,0,0,0,0,0
436056450,436024826,3,4,3,0,0,0,3,0,0,0,0,0,0
437070400,437039375,3,4,3,0,0,0,3,0,0,0,0,0,0
438080711,438049752,3,4,3,0,0,0,3,0,0,0,0,0,0
439092848,439061897,3,4,3,0,0,0,3,0,0,0,0,0,0
440104574,440073282,3,4,3,0,0,0,3,0,0,0,0,0,0
441115592,441084681,3,4,3,0,0,0,3,0,0,0,0,0,0
442126430,442094813,3,4,3,0,0,0,3,0,0,0,0,0,0
443136898,443105586,3,4,3,0,0,0,3,0,0,0,0,0,0
444146430,444115613,3,4,3,0,0,0,3,0,0,0,0,0,0
445158417,445127646,3,4,3,0,0,0,3,0,0,0,0,0,0
446171878,446140438,3,4,3,0,0,0,3,0,0,0,0,0,0
447200846,447170293,3,4,3,0,0,0,3,0,0,0,0,0,0
448213088,448181772,3,4,3,0,0,0,3,0,0,0,0,0,0
449225347,449193276,3,4,3,0,0,0,3,0,0,0,0,0,0
450237430,450206410,3,4,3,0,0,0,3,0,0,0,0,0,0
451247127,451216428,3,4,3,0,0,0,3,0,0,0,0,0,0
452256476,452225437,3,4,3,0,0,0,3,0,0,0,0,0,0
453269102,453238078,3,4,3,0,0,0,3,0,0,0,0,0,0
454281455,454249721,3,4,3,0,0,0,3,0,0,0,0,0,0
455292136,455260974,3,4,3,0,0,0,3,0,0,0,0,0,0
456303417,456272678,3,4,3,0,0,0,3,0,0,0,0,0,0
457314716,457283671,3,4,3,0,0,0,3,0,0,0,0,0,0
458325346,458293651,3,4,3,0,0,0,3,0,0,0,0,0,0
459338043,459307034,3,4,3,0,0,0,3,0,0,0,0,0,0
460349646,460318513,3,4,3,0,0,0,3,0,0,0,0,0,0
461363780,461332480,3,4,3,0,0,0,3,0,0,0,0,0,0
462374978,462343464,3,4,3,0,0,0,3,0,0,0,0,0,0
463386131,463354749,3,4,3,0,0,0,3,0,0,0,0,0,0
464398603,464367322,3,4,3,0,0,0,3,0,0,0,0,0,0
