timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,flag_control_allocation_enabled,flag_control_termination_enabled,source_id
415310175,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
415816166,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
416322147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
416828150,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
417334517,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
417840208,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
418346148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
418852148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
419358148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
419864350,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
420370178,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
420876184,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
421382147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
421888148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
422394595,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
422900242,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
423406270,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
423912156,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
424418149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
424924527,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
425430177,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
425936149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
426442168,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
426948167,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
427454367,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
427960211,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
428466147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
428972147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
429478149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
429984564,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
430490178,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
430996192,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
431502149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
432008149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
432514374,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
433020318,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
433526149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
434032148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
434538168,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
435044595,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
435550178,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
436056148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
436562147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
437068167,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
437574569,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
438080178,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
438586148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
439092147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
439598148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
440104632,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
440610176,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
441116297,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
441622147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
442128149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
442634387,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
443140209,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
443646148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
444152148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
444658148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
445164514,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
445670177,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
446176148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
446682148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
447188149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
447694562,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
448200178,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
448706148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
449212147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
449718150,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
450224354,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
450730177,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
